Koppelmethode;Koppel-ID;Bron;Bronlaag;Bronveld;Bronwaarde;LGB-code_binnendijks;LGB-code_buitendijks;LGB_beschrijving;Toelichting;Documentatie
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;attractiepark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;begraafplaats;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;botanische tuin;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;bungalowpark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;camping, kampeerterrein;77;205;Sport, recreatie, begraafplaatsen;"camping + kampeerterrein; Notitie p. 10, tabel 6";
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;caravanpark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;circuit;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;crossbaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;dierentuin, safaripark;77;205;Sport, recreatie, begraafplaatsen;"dierentuin + safaripark; Notitie p. 10, tabel 6";
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;erebegraafplaats;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;golfterrein;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;grafheuvel;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;ijsbaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;kartingbaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;openluchttheater;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;recreatiegebied;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;skibaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;slipschool;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;sportterrein, sportcomplex;77;205;Sport, recreatie, begraafplaatsen;"sportterrein + sportcomplex; Notitie p. 10, tabel 6";
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;tennispark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;vakantiepark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_vlak;typefunctioneelgebied;volkstuinen;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
functie;TOP10NL-NGR-BAG-001;TOP10NL + NGR + BAG;top10nl_functioneel_gebied_vlak + NGR RWZI + pand;typefunctioneelgebied;zuiveringsinstallatie;36;164;Gebouwen op rioolwaterzuivering (RWZI);"Selecteer BAG-gebouwen op een actieve rioolwaterzuiveringsinstallatie.; Notitie p. 3, 6–7";
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;attractiepark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;begraafplaats;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;botanische tuin;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;bungalowpark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;camping, kampeerterrein;77;205;Sport, recreatie, begraafplaatsen;"camping + kampeerterrein; Notitie p. 10, tabel 6";
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;caravanpark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;circuit;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;crossbaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;dierentuin, safaripark;77;205;Sport, recreatie, begraafplaatsen;"dierentuin + safaripark; Notitie p. 10, tabel 6";
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;erebegraafplaats;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;golfterrein;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;grafheuvel;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;ijsbaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;kartingbaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;openluchttheater;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;recreatiegebied;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;skibaan;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;slipschool;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;sportterrein, sportcomplex;77;205;Sport, recreatie, begraafplaatsen;"sportterrein + sportcomplex; Notitie p. 10, tabel 6";
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;tennispark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;vakantiepark;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
mapping;;TOP10NL;top10nl_functioneel_gebied_multivlak;typefunctioneelgebied;volkstuinen;77;205;Sport, recreatie, begraafplaatsen;Notitie p. 10, tabel 6;
functie;TOP10NL-NGR-BAG-002;TOP10NL + NGR + BAG;top10nl_functioneel_gebied_multivlak + NGR RWZI + pand;typefunctioneelgebied;zuiveringsinstallatie;36;164;Gebouwen op rioolwaterzuivering (RWZI);"Selecteer BAG-gebouwen op een actieve rioolwaterzuiveringsinstallatie.; Notitie p. 3, 6–7";
functie;TOP10NL-BAG-002;TOP10NL + BAG;Drinkwaterproductieterrein + pand (precieze laag nog kiezen);Nog vast te stellen;Nog vast te stellen;37;165;Gebouwen op drinkwaterproductieterrein;"Selecteer gebouwen voor drinkwaterproductie; bronselectie nog vastleggen.; Gebouwen op drinkwaterproductielocatie; Notitie p. 3, 7";
functie;NGR-001;NGR;Gemalenbestand (dataset nog vastleggen);Capaciteitsveld nog vaststellen;10 tot 20 m³/min;38;166;Gemalen (10 tot 20 m³/min);"Indeling in zes capaciteitsklassen vanaf 10 m³/min, volgens tabel 3.; Pompcapaciteit; Notitie p. 4, 7, tabel 3";
functie;NGR-002;NGR;Gemalenbestand (dataset nog vastleggen);Capaciteitsveld nog vaststellen;20 tot 50 m³/min;39;167;Gemalen (20 tot 50 m³/min);"Indeling in zes capaciteitsklassen vanaf 10 m³/min, volgens tabel 3.; Pompcapaciteit; Notitie p. 4, 7, tabel 3";
functie;NGR-003;NGR;Gemalenbestand (dataset nog vastleggen);Capaciteitsveld nog vaststellen;50 tot 100 m³/min;40;168;Gemalen (50 tot 100 m³/min);"Indeling in zes capaciteitsklassen vanaf 10 m³/min, volgens tabel 3.; Pompcapaciteit; Notitie p. 4, 7, tabel 3";
functie;NGR-004;NGR;Gemalenbestand (dataset nog vastleggen);Capaciteitsveld nog vaststellen;100 tot 400 m³/min;41;169;Gemalen (100 tot 400 m³/min);"Indeling in zes capaciteitsklassen vanaf 10 m³/min, volgens tabel 3.; Pompcapaciteit; Notitie p. 4, 7, tabel 3";
functie;NGR-005;NGR;Gemalenbestand (dataset nog vastleggen);Capaciteitsveld nog vaststellen;400 tot 1000 m³/min;42;170;Gemalen (400 tot 1000 m³/min);"Indeling in zes capaciteitsklassen vanaf 10 m³/min, volgens tabel 3.; Pompcapaciteit; Notitie p. 4, 7, tabel 3";
functie;NGR-006;NGR;Gemalenbestand (dataset nog vastleggen);Capaciteitsveld nog vaststellen;>1000 m³/min;43;171;Gemalen (> 1000 m³/min);"Indeling in zes capaciteitsklassen vanaf 10 m³/min, volgens tabel 3.; Pompcapaciteit; Notitie p. 4, 7, tabel 3";
mapping;;BRP;brp_gewas;gewascode;174;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Bloemzaden open grond; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;241;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Kapucijners (en grauwe erwten); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;242;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Bonen, bruine-; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;244;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Erwten, groene/gele (groen te oogsten); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;246;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Karwijzaad; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;247;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Blauwmaanzaad; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;258;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Luzerne; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;308;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Erwten (droog te oogsten); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;311;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Bonen, veld- (onder andere duiven-, paarden-, wierbonen); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;346;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Tagetes erecta (Afrikaantje); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;347;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Tagetes patula (Afrikaantje); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;428;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Gele mosterd; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;511;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Cichorei; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;515;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Zonnebloemen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;636;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Saffloer; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;637;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Vrouwenmantel; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;654;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Brandnetel; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;655;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Zwarte mosterd; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;656;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Zonnekroon; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;657;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Drachtplanten; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;662;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Bos (SBL-regeling); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;663;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Lupinen, niet bittere; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;665;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Sojabonen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;666;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Vlas, olie-. Lijnzaad niet van vezelvlas; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;670;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Japanse haver; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;671;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Raketblad (aaltjesvanggewas); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;794;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Woudbomen met korte omlooptijd (excl. Wilgenhakhout); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;795;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Wilgenhakhout; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;796;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Kerstbomen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;800;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Rolklaver; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;802;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Wikke, bonte; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;803;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Wikke, voeder-; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;853;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Bonen, tuin- (droog te oogsten) (geen consumptie); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;854;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Bonen, tuin- (groen te oogsten); Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;964;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Dahlia, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;965;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Dahlia, droogbloemen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;967;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Gladiool, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;970;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Hyacint, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;973;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Iris, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;979;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Lelie, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;982;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Narcis, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;983;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Narcis, droogbloemen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;985;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Tulp, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;986;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Tulp, droogbloemen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;988;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Zantedeschia, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;991;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Overige bloemen, overige bloemkwekerijgewassen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;992;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Overige bloemen, droogbloemen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;997;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Dahlia, bloembollen en - knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;998;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Gladiool, bloembollen en - knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;999;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Hyacint, bloembollen en - knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;1001;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Krokus, bloembollen en - knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;1002;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Lelie, bloembollen en -knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;1003;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Narcis, bloembollen en -knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;1004;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Tulp, bloembollen en -knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;1005;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Zantedeschia, bloembollen en -knollen; Notitie p. 9, tabel 5";
mapping;;BRP;brp_gewas;gewascode;1006;53;181;Overige land- en tuinbouwgewassen;"Overige gewassen volgens de notitie.; Overige bloemen, bloembollen en -knollen; Notitie p. 9, tabel 5";
